品名,section,備考,備考_links,出し方
バーベキューコンロ,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バーベル（バー・おもり）,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
ハーモニカ,は,,,家庭ごみ
バイク,は,・購入店に相談 ・「二輪車リサイクルシステム」（バイクメーカーの取り組み） ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外,,市が収集しないもの
灰皿,は,金属製のものは小物金属 回収ボックス へ,['/contents/00800208.html'],家庭ごみ
パイプいす,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
パイプハンガー,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
廃油,は,（注）専門の処理業者に相談 廃油処理パック等で固形にしたものは家庭ごみ,,市が収集しないもの
はがき,は,古紙 回収ボックス へ,['/contents/00800208.html'],古紙
はかり（台所ばかり）,は,,,家庭ごみ
はきもの類,は,,,家庭ごみ
バケツ,は,金属製のものは小物金属 回収ボックス へ 指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
はさみ,は,小物金属 回収ボックス へ,['/contents/00800208.html'],小物金属
箸（はし）,は,金属製のものは小物金属 回収ボックス へ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,['/contents/00800208.html'],家庭ごみ
はしご,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バスマット,は,,,家庭ごみ
パソコンキーボード,は,「 パソコン 」参照 小型電子機器 回収ボックス へ,"['/contents/924_10216.html', '/contents/00800208.html']",小型電子機器
パソコン用ディスプレイ,は,「 パソコン 」参照 事前申込制,"['/contents/924_10216.html', '/contents/924_10259.html']",粗大ごみ
パソコン本体（デスクトップ型・ノート型）,は,「 パソコン 」参照 小型のものは小型電子機器 回収ボックス へ,"['/contents/924_10216.html', '/contents/00800208.html']",粗大ごみ
パソコンラック,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
発炎筒,は,（注）販売店に相談,,市が収集しないもの
バッテリー,は,（注）販売店に相談,,市が収集しないもの
バット（野球用）,は,事前申込制,['/contents/924_10259.html'],粗大ごみ
バット（料理用）,は,小物金属 回収ボックス へ 金属製以外のものは家庭ごみ,['/contents/00800208.html'],小物金属
発泡スチロール製の容器包装（箱・緩衝材など）,は,,,プラスチック
花火,は,水にひたしてから,,家庭ごみ
